Ranking,Title,Type,Japanese,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members
1,Fullmetal Alchemist: Brotherhood,TV,鋼の錬金術師 FULLMETAL ALCHEMIST,"Apr 5, 2009 to Jul 4, 2010",64,24 min. per ep.,9.14,Manga,"ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy",MilitaryMilitary,Funimation,"Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken",R - 17+ (violence & profanity),Finished Airing,Bones,"2,893,578"
2,Gintama°,TV,銀魂°,"Apr 8, 2015 to Mar 30, 2016",51,24 min. per ep.,9.08,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",Funimation,"TV Tokyo,Aniplex,Dentsu",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"537,065"
3,Steins;Gate,TV,STEINS;GATE,"Apr 6, 2011 to Sep 14, 2011",24,24 min. per ep.,9.08,Visual novel,"DramaDrama,Sci-FiSci-Fi,SuspenseSuspense","PsychologicalPsychological,Time TravelTime Travel",Funimation,"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus",PG-13 - Teens 13 or older,Finished Airing,White Fox,"2,245,494"
4,Shingeki no Kyojin Season 3 Part 2,TV,進撃の巨人 Season3 Part.2,"Apr 29, 2019 to Jul 1, 2019",10,23 min. per ep.,9.07,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,Wit Studio,"1,848,076"
5,Gintama',TV,銀魂',"Apr 4, 2011 to Mar 26, 2012",51,24 min. per ep.,9.05,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"473,422"
6,Gintama: The Final,Movie,銀魂 THE FINAL,8-Jan-21,1,1 hr. 44 min.,9.05,Manga,"ActionAction,ComedyComedy,DramaDrama,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",Eleven Arts,"TV Tokyo,Warner Bros. Japan",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"103,866"
7,Hunter x Hunter (2011),TV,HUNTER×HUNTER（ハンター×ハンター）,"Oct 2, 2011 to Sep 24, 2014",148,23 min. per ep.,9.05,Manga,"ActionAction,AdventureAdventure,FantasyFantasy",None,VIZ Media,"VAP,Nippon Television Network,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"2,382,431"
8,Gintama': Enchousen,TV,銀魂' 延長戦,"Oct 4, 2012 to Mar 28, 2013",13,24 min. per ep.,9.04,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"282,286"
9,Fruits Basket: The Final,TV,フルーツバスケット The Final,"Apr 6, 2021 to Jun 29, 2021",13,23 min. per ep.,9.03,Manga,"DramaDrama,RomanceRomance,SupernaturalSupernatural",None,Funimation,"TV Tokyo,TV Osaka,Nihon Ad Systems,Hakusensha,Avex Pictures,TMS Music,8PAN",PG-13 - Teens 13 or older,Finished Airing,TMS Entertainment,"351,016"
10,Ginga Eiyuu Densetsu,OVA,銀河英雄伝説,"Jan 8, 1988 to Mar 17, 1997",110,26 min. per ep.,9.03,Novel,"DramaDrama,Sci-FiSci-Fi","Adult CastAdult Cast,MilitaryMilitary,SpaceSpace",Sentai Filmworks,"TV Tokyo,Kitty Films,Tokuma Shoten,Tokuma Japan Communications,Wright Staff",R - 17+ (violence & profanity),Finished Airing,K-Factory,"280,665"
11,Spy x Family,TV,SPY×FAMILY,"Apr 9, 2022 to Jun 25, 2022",12,24 min. per ep.,9.02,Manga,"ActionAction,ComedyComedy",ChildcareChildcare,add some,"TV Tokyo,Shogakukan-Shueisha Productions,TOHO animation,Shueisha",PG-13 - Teens 13 or older,Currently Airing,Wit Studio,"770,326"
12,Gintama.,TV,銀魂。,"Jan 9, 2017 to Mar 27, 2017",12,24 min. per ep.,8.99,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"269,192"
13,3-gatsu no Lion 2nd Season,TV,3月のライオン 第2シリーズ,"Oct 14, 2017 to Mar 31, 2018",22,25 min. per ep.,8.96,Manga,"DramaDrama,Slice of LifeSlice of Life","ChildcareChildcare,IyashikeiIyashikei,Strategy GameStrategy Game",Aniplex of America,"Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace,Toy's Factory",PG-13 - Teens 13 or older,Finished Airing,Shaft,"352,939"
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,かぐや様は告らせたい-ウルトラロマンティック-,"Apr 9, 2022 to Jul 2, 2022",13,23 min. per ep.,8.96,Manga,"ComedyComedy,SuspenseSuspense","PsychologicalPsychological,Romantic SubtextRomantic Subtext,SchoolSchool",Aniplex of America,"Aniplex,Mainichi Broadcasting System,Magic Capsule,Shueisha,JR East Marketing & Communications",PG-13 - Teens 13 or older,Currently Airing,A-1 Pictures,"489,602"
15,Gintama,TV,銀魂,"Apr 4, 2006 to Mar 25, 2010",201,24 min. per ep.,8.95,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",Sentai Filmworks,"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Audio Highs,Miracle Robo,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"946,079"
16,Koe no Katachi,Movie,聲の形,17-Sep-16,1,2 hr. 10 min.,8.95,Manga,DramaDrama,Romantic SubtextRomantic Subtext,Eleven Arts,"Shochiku,Pony Canyon,Kodansha,ABC Animation,Quaras",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"1,972,786"
17,Violet Evergarden Movie,Movie,劇場版 ヴァイオレット・エヴァーガーデン,18-Sep-20,1,2 hr. 20 min.,8.95,Light novel,"DramaDrama,FantasyFantasy,Slice of LifeSlice of Life",None,Funimation,Shochiku,PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"441,926"
18,Clannad: After Story,TV,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,"Oct 3, 2008 to Mar 27, 2009",24,24 min. per ep.,8.94,Visual novel,"DramaDrama,RomanceRomance,SupernaturalSupernatural",None,Sentai Filmworks,"Pony Canyon,TBS,Rakuonsha,Animation Do",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"1,082,069"
19,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,劇場版 銀魂 完結篇 万事屋よ永遠なれ,6-Jul-13,1,1 hr. 50 min.,8.93,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai,Time TravelTime Travel",add some,"TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros. Japan,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"210,657"
20,Code Geass: Hangyaku no Lelouch R2,TV,コードギアス 反逆のルルーシュ 続編,"Apr 6, 2008 to Sep 28, 2008",25,24 min. per ep.,8.91,Original,"ActionAction,DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary,Super PowerSuper Power",Funimation,"Bandai Visual,Mainichi Broadcasting System,Bandai,Bandai Namco Entertainment,Hakuhodo DY Media Partners",R - 17+ (violence & profanity),Finished Airing,Sunrise,"1,571,556"
21,Owarimonogatari 2nd Season,TV,終物語,"Aug 12, 2017 to Aug 13, 2017",7,22 min. per ep.,8.9,Light novel,"ComedyComedy,MysteryMystery,SupernaturalSupernatural",VampireVampire,Aniplex of America,"Aniplex,Kodansha",R - 17+ (violence & profanity),Finished Airing,Shaft,"349,496"
22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,銀魂. 銀ノ魂篇 後半戦,"Jul 9, 2018 to Oct 8, 2018",14,24 min. per ep.,8.88,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"164,439"
23,Kimetsu no Yaiba: Yuukaku-hen,TV,鬼滅の刃 遊郭編,"Dec 5, 2021 to Feb 13, 2022",11,26 min. per ep.,8.87,Manga,"ActionAction,FantasyFantasy",HistoricalHistorical,Crunchyroll,"None found,add some",R - 17+ (violence & profanity),Finished Airing,ufotable,"891,569"
24,Kimi no Na wa.,Movie,君の名は。,26-Aug-16,1,1 hr. 46 min.,8.87,Original,"DramaDrama,SupernaturalSupernatural",Romantic SubtextRomantic Subtext,Funimation,"Toho,Sound Team Don Juan,Amuse,JR East Marketing & Communications,Kadokawa,voque ting",PG-13 - Teens 13 or older,Finished Airing,CoMix Wave Films,"2,363,500"
25,Shingeki no Kyojin: The Final Season Part 2,TV,進撃の巨人 The Final Season Part 2,"Jan 10, 2022 to Apr 4, 2022",12,23 min. per ep.,8.85,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",add some,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,MAPPA,"869,839"
26,Shingeki no Kyojin: The Final Season,TV,進撃の巨人 The Final Season,"Dec 7, 2020 to Mar 29, 2021",16,23 min. per ep.,8.84,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,MAPPA,"1,597,055"
27,Monster,TV,モンスター,"Apr 7, 2004 to Sep 28, 2005",74,24 min. per ep.,8.83,Manga,"DramaDrama,MysteryMystery,SuspenseSuspense","Adult CastAdult Cast,PsychologicalPsychological",VIZ Media,"VAP,Shogakukan-Shueisha Productions,Nippon Television Network",R+ - Mild Nudity,Finished Airing,Madhouse,"857,308"
28,Kingdom 4th Season,TV,キングダム 第4シリーズ,"Apr 10, 2022 to ?",26,24 min. per ep.,8.82,Manga,ActionAction,"HistoricalHistorical,MilitaryMilitary",add some,"Avex Pictures,Shueisha,NHK Enterprises",R - 17+ (violence & profanity),Currently Airing,add some,"27,228"
29,Gintama.: Shirogane no Tamashii-hen,TV,銀魂. 銀ノ魂篇,"Jan 8, 2018 to Mar 26, 2018",12,24 min. per ep.,8.81,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"178,193"
30,Kingdom 3rd Season,TV,キングダム 第3シリーズ,"Apr 6, 2020 to Oct 17, 2021",26,25 min. per ep.,8.81,Manga,ActionAction,"HistoricalHistorical,MilitaryMilitary",Funimation,Shueisha,R - 17+ (violence & profanity),Finished Airing,Studio Signpost,"70,340"
31,Mob Psycho 100 II,TV,モブサイコ100 II,"Jan 7, 2019 to Apr 1, 2019",13,24 min. per ep.,8.81,Web manga,"ActionAction,ComedyComedy,SupernaturalSupernatural",Super PowerSuper Power,Funimation,"Warner Bros. Japan,KlockWorx,BS Fuji,Hakuhodo DY Music & Pictures,Shogakukan",PG-13 - Teens 13 or older,Finished Airing,Bones,"1,239,719"
32,Kizumonogatari III: Reiketsu-hen,Movie,傷物語〈Ⅲ冷血篇〉,6-Jan-17,1,1 hr. 23 min.,8.8,Light novel,"ActionAction,MysteryMystery,SupernaturalSupernatural",VampireVampire,Aniplex of America,"Aniplex,Kodansha",R - 17+ (violence & profanity),Finished Airing,Shaft,"404,087"
33,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,"Oct 8, 2016 to Dec 10, 2016",10,24 min. per ep.,8.79,Manga,SportsSports,"SchoolSchool,Team SportsTeam Sports",Sentai Filmworks,"Dentsu,Mainichi Broadcasting System,Movic,Sony Music Entertainment,TOHO animation,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"1,038,214"
34,Shiguang Dailiren,ONA,时光代理人,"Apr 30, 2021 to Jul 9, 2021",11,23 min. per ep.,8.79,Original,"DramaDrama,SupernaturalSupernatural",Time TravelTime Travel,Funimation,"bilibili,BeDream",PG-13 - Teens 13 or older,Finished Airing,Studio LAN,"213,027"
35,Monogatari Series: Second Season,TV,〈物語〉シリーズ セカンドシーズン,"Jul 7, 2013 to Dec 29, 2013",26,25 min. per ep.,8.78,Light novel,"ComedyComedy,MysteryMystery,RomanceRomance,SupernaturalSupernatural",VampireVampire,Aniplex of America,"Aniplex,Kodansha,Cyclone Graphics",R - 17+ (violence & profanity),Finished Airing,Shaft,"611,343"
36,Sen to Chihiro no Kamikakushi,Movie,千と千尋の神隠し,20-Jul-01,1,2 hr. 4 min.,8.78,Original,"AdventureAdventure,Award WinningAward Winning,SupernaturalSupernatural",MythologyMythology,Disney Platform Distribution,Toho,PG - Children,Finished Airing,Studio Ghibli,"1,614,713"
37,Cowboy Bebop,TV,カウボーイビバップ,"Apr 3, 1998 to Apr 24, 1999",26,24 min. per ep.,8.76,Original,"ActionAction,Sci-FiSci-Fi","Adult CastAdult Cast,SpaceSpace",Funimation,Bandai Visual,R - 17+ (violence & profanity),Finished Airing,Sunrise,"1,619,496"
38,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,昭和元禄落語心中～助六再び篇～,"Jan 7, 2017 to Mar 25, 2017",12,24 min. per ep.,8.75,Manga,DramaDrama,"Adult CastAdult Cast,HistoricalHistorical,Love PolygonLove Polygon,Performing ArtsPerforming Arts",add some,"Mainichi Broadcasting System,Kodansha,DAX Production,King Records",PG-13 - Teens 13 or older,Finished Airing,Studio Deen,"169,818"
39,Mushishi Zoku Shou 2nd Season,TV,蟲師 続章,"Oct 19, 2014 to Dec 21, 2014",10,23 min. per ep.,8.74,Manga,"AdventureAdventure,FantasyFantasy,MysteryMystery,Slice of LifeSlice of Life,SupernaturalSupernatural","Adult CastAdult Cast,HistoricalHistorical,IyashikeiIyashikei",Aniplex of America,"Aniplex,Kodansha,Delfi Sound",PG-13 - Teens 13 or older,Finished Airing,Artland,"237,211"
40,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,無職転生 ～異世界行ったら本気だす～ 第2クール,"Oct 4, 2021 to Dec 20, 2021",12,23 min. per ep.,8.74,Light novel,"DramaDrama,FantasyFantasy,EcchiEcchi","IsekaiIsekai,ReincarnationReincarnation",Funimation,"Frontier Works,Hakuhodo DY Music & Pictures,BS11,Egg Firm,GREE Entertainment",R - 17+ (violence & profanity),Finished Airing,Studio Bind,"595,948"
41,Odd Taxi,TV,オッドタクシー,"Apr 6, 2021 to Jun 29, 2021",13,23 min. per ep.,8.74,Original,MysteryMystery,AnthropomorphicAnthropomorphic,add some,"TV Tokyo,Dentsu,Pony Canyon,Crunchyroll,Pony Canyon Enterprise,Crunchyroll SC Anime Fund,Yoshimoto Kogyo",PG-13 - Teens 13 or older,Finished Airing,OLM,"310,663"
42,Hajime no Ippo,TV,はじめの一歩 THE FIGHTING!,"Oct 4, 2000 to Mar 27, 2002",75,23 min. per ep.,8.74,Manga,SportsSports,Combat SportsCombat Sports,Discotek Media,VAP,PG-13 - Teens 13 or older,Finished Airing,Madhouse,"483,267"
43,Vinland Saga,TV,ヴィンランド・サガ,"Jul 8, 2019 to Dec 30, 2019",24,24 min. per ep.,8.73,Manga,"ActionAction,AdventureAdventure,DramaDrama",HistoricalHistorical,Sentai Filmworks,"Production I.G,Dentsu,Kodansha,Twin Engine",R - 17+ (violence & profanity),Finished Airing,Wit Studio,"1,102,705"
44,Mushishi Zoku Shou,TV,蟲師 続章,"Apr 5, 2014 to Jun 21, 2014",10,24 min. per ep.,8.71,Manga,"AdventureAdventure,FantasyFantasy,MysteryMystery,Slice of LifeSlice of Life,SupernaturalSupernatural","Adult CastAdult Cast,HistoricalHistorical,IyashikeiIyashikei",Aniplex of America,"Aniplex,Kodansha,Delfi Sound",PG-13 - Teens 13 or older,Finished Airing,Artland,"270,081"
45,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,るろうに剣心―明治剣客浪漫譚―追憶編,"Feb 20, 1999 to Sep 22, 1999",4,30 min. per ep.,8.71,Manga,"ActionAction,DramaDrama,RomanceRomance","Adult CastAdult Cast,HistoricalHistorical,Martial ArtsMartial Arts,SamuraiSamurai",ADV Films,Aniplex,R - 17+ (violence & profanity),Finished Airing,Studio Deen,"257,636"
46,86 Part 2,TV,86―エイティシックス―,"Oct 3, 2021 to Mar 19, 2022",12,23 min. per ep.,8.71,Light novel,"ActionAction,DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary",add some,"Aniplex,Kadokawa,Bandai Spirits",R - 17+ (violence & profanity),Finished Airing,A-1 Pictures,"311,054"
47,Ashita no Joe 2,TV,あしたのジョー２,"Oct 13, 1980 to Aug 31, 1981",47,24 min. per ep.,8.71,Manga,"ActionAction,DramaDrama,Slice of LifeSlice of Life,SportsSports",Combat SportsCombat Sports,add some,Annapuru,PG-13 - Teens 13 or older,Finished Airing,Tokyo Movie Shinsha,"41,893"
48,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,劇場版「Fate/stay night [Heaven's Feel] III.spring song」,15-Aug-20,1,2 hr. 2 min.,8.71,Visual novel,"ActionAction,FantasyFantasy,SupernaturalSupernatural",None,Aniplex of America,"Aniplex,Notes,Kadokawa",R - 17+ (violence & profanity),Finished Airing,ufotable,"275,327"
49,Code Geass: Hangyaku no Lelouch,TV,コードギアス 反逆のルルーシュ,"Oct 6, 2006 to Jul 29, 2007",25,24 min. per ep.,8.7,Original,"ActionAction,DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary,SchoolSchool,Super PowerSuper Power",Funimation,"Bandai Visual,Mainichi Broadcasting System,Bandai,Sony Music Entertainment,Bandai Namco Entertainment,Hakuhodo DY Media Partners",R - 17+ (violence & profanity),Finished Airing,Sunrise,"1,993,444"
50,Great Teacher Onizuka,TV,グレート・ティーチャー・オニヅカ,"Jun 30, 1999 to Sep 17, 2000",43,25 min. per ep.,8.69,Manga,"ComedyComedy,DramaDrama","DelinquentsDelinquents,SchoolSchool,WorkplaceWorkplace",Discotek Media,"Aniplex,Fuji TV",R - 17+ (violence & profanity),Finished Airing,Pierrot,"726,724"
51,Mo Dao Zu Shi: Wanjie Pian,ONA,魔道祖师 完结篇,"Aug 7, 2021 to Oct 16, 2021",12,24 min. per ep.,8.69,Web novel,"ActionAction,DramaDrama,SupernaturalSupernatural","HistoricalHistorical,MythologyMythology",add some,Tencent Penguin Pictures,R - 17+ (violence & profanity),Finished Airing,B.CMAY PICTURES,"56,914"
52,Mononoke Hime,Movie,もののけ姫,12-Jul-97,1,2 hr. 13 min.,8.68,Original,"ActionAction,AdventureAdventure,FantasyFantasy",None,GKIDS,"Tokuma Shoten,Nippon Television Network",PG-13 - Teens 13 or older,Finished Airing,Studio Ghibli,"1,098,194"
53,Jujutsu Kaisen (TV),TV,呪術廻戦,"Oct 3, 2020 to Mar 27, 2021",24,23 min. per ep.,8.68,Manga,"ActionAction,FantasyFantasy",SchoolSchool,add some,"Mainichi Broadcasting System,TOHO animation,Shueisha,dugout,Sumzap",R - 17+ (violence & profanity),Finished Airing,MAPPA,"1,874,278"
54,Made in Abyss,TV,メイドインアビス,"Jul 7, 2017 to Sep 29, 2017",13,25 min. per ep.,8.68,Web manga,"AdventureAdventure,DramaDrama,FantasyFantasy,MysteryMystery,Sci-FiSci-Fi",None,Sentai Filmworks,"Media Factory,AT-X,Takeshobo,Sony Music Communications,Kadokawa Media House,Cygames,Kanetsu Investment,Kadokawa,Global Solutions,IRMA LA DOUCE",R - 17+ (violence & profanity),Finished Airing,Kinema Citrus,"1,138,004"
55,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,劇場版メイドインアビス 深き魂の黎明,17-Jan-20,1,1 hr. 45 min.,8.68,Web manga,"AdventureAdventure,DramaDrama,FantasyFantasy,MysteryMystery,Sci-FiSci-Fi",None,Sentai Filmworks,IRMA LA DOUCE,R - 17+ (violence & profanity),Finished Airing,Kinema Citrus,"327,225"
56,Mushishi,TV,蟲師,"Oct 23, 2005 to Jun 19, 2006",26,25 min. per ep.,8.67,Manga,"AdventureAdventure,FantasyFantasy,MysteryMystery,Slice of LifeSlice of Life,SupernaturalSupernatural","Adult CastAdult Cast,HistoricalHistorical,IyashikeiIyashikei",Funimation,"Avex Entertainment,Marvelous,SKY Perfect Well Think,Delfi Sound",PG-13 - Teens 13 or older,Finished Airing,Artland,"741,563"
57,Violet Evergarden,TV,ヴァイオレット・エヴァーガーデン,"Jan 11, 2018 to Apr 5, 2018",13,24 min. per ep.,8.67,Light novel,"DramaDrama,FantasyFantasy,Slice of LifeSlice of Life",None,Funimation,"Lantis,Pony Canyon,Rakuonsha,ABC Animation",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"1,509,929"
58,Shigatsu wa Kimi no Uso,TV,四月は君の嘘,"Oct 10, 2014 to Mar 20, 2015",22,22 min. per ep.,8.66,Manga,"DramaDrama,RomanceRomance","MusicMusic,SchoolSchool",Aniplex of America,"Aniplex,Dentsu,Kodansha,Fuji TV,Kyoraku Industrial Holdings",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"1,940,403"
59,Hajime no Ippo: New Challenger,TV,はじめの一歩 新シリーズ,"Jan 7, 2009 to Jul 1, 2009",26,23 min. per ep.,8.66,Manga,SportsSports,Combat SportsCombat Sports,add some,"VAP,Kodansha,Nippon Television Network",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"243,037"
60,Howl no Ugoku Shiro,Movie,ハウルの動く城,20-Nov-04,1,1 hr. 59 min.,8.66,Novel,"AdventureAdventure,DramaDrama,FantasyFantasy,RomanceRomance",None,Disney Platform Distribution,"d-rights,Tokuma Shoten",G - All Ages,Finished Airing,Studio Ghibli,"1,131,884"
61,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,劇場版 鬼滅の刃 無限列車編,16-Oct-20,1,1 hr. 56 min.,8.66,Manga,"ActionAction,FantasyFantasy",HistoricalHistorical,Aniplex of America,"Aniplex,Shueisha",R - 17+ (violence & profanity),Finished Airing,ufotable,"1,155,273"
62,Haikyuu!! Second Season,TV,ハイキュー!! セカンドシーズン,"Oct 4, 2015 to Mar 27, 2016",25,24 min. per ep.,8.65,Manga,SportsSports,"SchoolSchool,Team SportsTeam Sports",Sentai Filmworks,"Dentsu,Mainichi Broadcasting System,Movic,Sony Music Entertainment,TOHO animation,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"1,242,908"
63,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,"Apr 11, 2020 to Jun 27, 2020",12,24 min. per ep.,8.65,Manga,ComedyComedy,"PsychologicalPsychological,Romantic SubtextRomantic Subtext,SchoolSchool",Aniplex of America,"Aniplex,Mainichi Broadcasting System,Shueisha,JR East Marketing & Communications",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"1,083,229"
64,Natsume Yuujinchou Shi,TV,夏目友人帳 肆,"Jan 3, 2012 to Mar 27, 2012",13,24 min. per ep.,8.65,Manga,"DramaDrama,Slice of LifeSlice of Life,SupernaturalSupernatural","IyashikeiIyashikei,MythologyMythology","NIS America, Inc.","TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha,Sony Music Entertainment",PG-13 - Teens 13 or older,Finished Airing,Brain's Base,"223,198"
65,One Piece,TV,ONE PIECE,"Oct 20, 1999 to ?",Unknown,24 min.,8.65,Manga,"ActionAction,AdventureAdventure,FantasyFantasy",None,Funimation,"Fuji TV,TAP,Shueisha",PG-13 - Teens 13 or older,Currently Airing,Toei Animation,"1,889,011"
66,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,シン・エヴァンゲリオン劇場版:||,8-Mar-21,1,2 hr. 35 min.,8.64,Original,"ActionAction,DramaDrama,Sci-FiSci-Fi","MechaMecha,PsychologicalPsychological",add some,KlockWorx,PG-13 - Teens 13 or older,Finished Airing,Khara,"293,698"
67,Natsume Yuujinchou Roku,TV,夏目友人帳 陸,"Apr 12, 2017 to Jun 21, 2017",11,23 min. per ep.,8.63,Manga,"DramaDrama,Slice of LifeSlice of Life,SupernaturalSupernatural","IyashikeiIyashikei,MythologyMythology",add some,"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",PG-13 - Teens 13 or older,Finished Airing,Shuka,"164,819"
68,Ousama Ranking,TV,王様ランキング,"Oct 15, 2021 to Mar 25, 2022",23,22 min. per ep.,8.63,Web manga,"AdventureAdventure,FantasyFantasy",None,Funimation,"Aniplex,Dentsu,Fuji TV,Kadokawa",PG-13 - Teens 13 or older,Finished Airing,Wit Studio,"419,375"
69,Tengen Toppa Gurren Lagann,TV,天元突破グレンラガン,"Apr 1, 2007 to Sep 30, 2007",27,24 min. per ep.,8.63,Original,"ActionAction,AdventureAdventure,ComedyComedy,Sci-FiSci-Fi",MechaMecha,ADV Films,"TV Tokyo,Aniplex,Dentsu,Konami,Half H.P Studio,Bandai",PG-13 - Teens 13 or older,Finished Airing,Gainax,"1,449,388"
70,Ping Pong the Animation,TV,ピンポン THE ANIMATION,"Apr 11, 2014 to Jun 20, 2014",11,23 min. per ep.,8.62,Manga,"DramaDrama,SportsSports",None,Funimation,"Aniplex,Dentsu,Fuji TV,Kyoraku Industrial Holdings,Science SARU",PG-13 - Teens 13 or older,Finished Airing,Tatsunoko Production,"343,142"
71,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,青春ブタ野郎はゆめみる少女の夢を見ない,15-Jun-19,1,1 hr. 30 min.,8.62,Light novel,"DramaDrama,RomanceRomance,SupernaturalSupernatural",SchoolSchool,Aniplex of America,"Aniplex,Tokyo MX,Hakuhodo DY Music & Pictures,Nagoya Broadcasting Network,BS11,ABC Animation,Kadokawa",PG-13 - Teens 13 or older,Finished Airing,CloverWorks,"586,770"
72,Shingeki no Kyojin Season 3,TV,進撃の巨人 Season3,"Jul 23, 2018 to Oct 15, 2018",12,23 min. per ep.,8.62,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,Wit Studio,"1,968,513"
